invoice_no,customer_id,category,product_name,quantity,price,payment_method,invoice_date,shopping_mall,discount,email,gender,age,city,total_amount
INV00001,CUST0538,Home & Kitchen,Designer Curtains,3,2429.21,Credit Card,2022-01-27,Sri Lakshmi Shopping Mall,35.07,kavita.venkateswarlu@yahoo.com,Female,31,Yerraguntla,4731.86
INV00002,CUST1250,Beauty,Maybelline Mascara,5,415.09,UPI,2023-05-04,Sri Lakshmi Shopping Mall,18.26,pavani.narayan@andhramail.com,Female,43,Proddatur,1696.47
INV00003,CUST1307,Groceries,Kellogg's Corn Flakes,1,197.97,Cash,2022-01-13,SVR Mall,9.12,satish.kondaiah@yahoo.com,Male,47,Proddatur,179.92
INV00004,CUST0915,Footwear,Paragon Slippers,7,423.46,Cash,2023-12-17,Sri Lakshmi Shopping Mall,16.87,krishna.patil@hotmail.com,Male,41,Proddatur,2464.16
INV00005,CUST0239,Clothing,Men's Cotton Shirt,6,1857.39,Cash,2022-10-21,SVR Mall,1.61,prasad.murthy@apcob.org,Male,44,Kadapa,10964.92
INV00006,CUST0799,Clothing,Cotton Dhoti,4,739.95,Credit Card,2022-06-14,JC Brothers Shopping Complex,43.8,sravani.nayak@rediffmail.com,Female,47,Kadapa,1663.41
INV00007,CUST0434,Groceries,Basmati Rice (5kg),2,627.1,Paytm,2023-08-09,SVR Mall,7.84,suresh.srinivasulu@apsrtc.gov.in,Male,26,Jammalamadugu,1155.87
INV00008,CUST1012,Footwear,Kids' School Shoes,1,1045.88,UPI,2023-01-22,PSR Shopping Mall,20.02,lalitha.prasad@proddaturmail.com,Female,69,Jammalamadugu,836.49
INV00009,CUST1895,Beauty,Nivea Skin Cream,1,381.53,Credit Card,2022-07-08,PSR Shopping Mall,3.86,kiran.choudhary@yahoo.com,Male,41,Proddatur,366.8
INV00010,CUST0437,Home & Kitchen,Designer Curtains,1,3568.13,Cash,2022-11-17,PSR Shopping Mall,8.24,sirisha.varma@yahoo.com,Female,25,Rayachoti,3274.12
INV00011,CUST0067,Electronics,OnePlus Nord CE 2,9,24466.85,Cash,2022-07-19,Sri Lakshmi Shopping Mall,30.16,sarala.patil@andhramail.com,Female,27,Kadapa,153788.83
INV00012,CUST0870,Electronics,Sony Home Theatre,13,16596.97,UPI,2022-09-03,JC Brothers Shopping Complex,10.6,sneha.goud@proddaturmail.com,Female,63,Proddatur,192889.99
